Region;ID_Pays;Pays;Var_Sigi;Annee;Valeur
Africa;CAF;Central African Republic;Restricted civil liberties;2019;54.2
Africa;TCD;Chad;SIGI;2019;45.4
Africa;TCD;Chad;Discrimination in the family;2019;55.8
Africa;TCD;Chad;Restricted physical integrity;2019;32.2
Africa;TCD;Chad;Restricted access to productive and financial resources;2019;61.9
Africa;TCD;Chad;Restricted civil liberties;2019;27.2
Americas;CHL;Chile;SIGI;2019;36.1
Americas;CHL;Chile;Discrimination in the family;2019;36.4
Americas;CHL;Chile;Restricted physical integrity;2019;18.8
Americas;CHL;Chile;Restricted access to productive and financial resources;2019;64.8
Americas;CHL;Chile;Restricted civil liberties;2019;16.6
Asia;CHN;China (People's Republic of);Discrimination in the family;2019;18.4
Asia;TWN;Chinese Taipei;Discrimination in the family;2019;37.2
Asia;TWN;Chinese Taipei;Restricted civil liberties;2019;15.9
Americas;COL;Colombia;SIGI;2019;15
Americas;COL;Colombia;Discrimination in the family;2019;9.6
Americas;COL;Colombia;Restricted physical integrity;2019;14.9
Americas;COL;Colombia;Restricted access to productive and financial resources;2019;14.5
Americas;COL;Colombia;Restricted civil liberties;2019;20.6
Africa;COM;Comoros;Discrimination in the family;2019;80.9
Africa;COM;Comoros;Restricted physical integrity;2019;28.2
Africa;COG;Congo;Discrimination in the family;2019;42.8
Africa;COG;Congo;Restricted civil liberties;2019;58.3
Americas;CRI;Costa Rica;SIGI;2019;27.9
Americas;CRI;Costa Rica;Discrimination in the family;2019;45.7
Americas;CRI;Costa Rica;Restricted physical integrity;2019;24.8
Americas;CRI;Costa Rica;Restricted access to productive and financial resources;2019;27.5
Americas;CRI;Costa Rica;Restricted civil liberties;2019;10.5
Africa;CIV;Cote d'Ivoire;SIGI;2019;42.8
Africa;CIV;Cote d'Ivoire;Discrimination in the family;2019;29.7
Africa;CIV;Cote d'Ivoire;Restricted physical integrity;2019;35.6
Africa;CIV;Cote d'Ivoire;Restricted access to productive and financial resources;2019;76.1
Africa;CIV;Cote d'Ivoire;Restricted civil liberties;2019;20.4
Europe;HRV;Croatia;SIGI;2019;19.3
Europe;HRV;Croatia;Discrimination in the family;2019;22
Europe;HRV;Croatia;Restricted physical integrity;2019;7
Europe;HRV;Croatia;Restricted access to productive and financial resources;2019;29.1
Europe;HRV;Croatia;Restricted civil liberties;2019;17.9
Americas;CUB;Cuba;Discrimination in the family;2019;28.9
Asia;CYP;Cyprus;SIGI;2019;28.3
Asia;CYP;Cyprus;Discrimination in the family;2019;42.3
Asia;CYP;Cyprus;Restricted physical integrity;2019;11.7
Asia;CYP;Cyprus;Restricted access to productive and financial resources;2019;19.3
Asia;CYP;Cyprus;Restricted civil liberties;2019;36.7
Europe;CZE;Czechia;SIGI;2019;19.8
Europe;CZE;Czechia;Discrimination in the family;2019;27.3
Europe;CZE;Czechia;Restricted physical integrity;2019;12.8
Europe;CZE;Czechia;Restricted access to productive and financial resources;2019;11.9
Europe;CZE;Czechia;Restricted civil liberties;2019;26.3
Africa;COD;Democratic Republic of the Congo;SIGI;2019;39.5
Africa;COD;Democratic Republic of the Congo;Discrimination in the family;2019;53
Africa;COD;Democratic Republic of the Congo;Restricted physical integrity;2019;35.1
Africa;COD;Democratic Republic of the Congo;Restricted access to productive and financial resources;2019;46.4
Africa;COD;Democratic Republic of the Congo;Restricted civil liberties;2019;20.7
Europe;DNK;Denmark;SIGI;2019;10.4
Europe;DNK;Denmark;Discrimination in the family;2019;15
Europe;DNK;Denmark;Restricted physical integrity;2019;10.2
Europe;DNK;Denmark;Restricted access to productive and financial resources;2019;4.8
Europe;DNK;Denmark;Restricted civil liberties;2019;11
Africa;DJI;Djibouti;Discrimination in the family;2019;72.9
Americas;DMA;Dominica;Discrimination in the family;2019;42.1
Americas;DOM;Dominican Republic;SIGI;2019;18.2
Americas;DOM;Dominican Republic;Discrimination in the family;2019;30.3
Americas;DOM;Dominican Republic;Restricted physical integrity;2019;18.1
Americas;DOM;Dominican Republic;Restricted access to productive and financial resources;2019;11.9
Americas;DOM;Dominican Republic;Restricted civil liberties;2019;11.2
Americas;ECU;Ecuador;SIGI;2019;28.9
Americas;ECU;Ecuador;Discrimination in the family;2019;34.8
Americas;ECU;Ecuador;Restricted physical integrity;2019;18.9
Americas;ECU;Ecuador;Restricted access to productive and financial resources;2019;44
Americas;ECU;Ecuador;Restricted civil liberties;2019;15.1
Africa;EGY;Egypt;Discrimination in the family;2019;78.6
Africa;EGY;Egypt;Restricted access to productive and financial resources;2019;64.6
Americas;SLV;El Salvador;SIGI;2019;22.9
Americas;SLV;El Salvador;Discrimination in the family;2019;26.1
Americas;SLV;El Salvador;Restricted physical integrity;2019;27.4
Americas;SLV;El Salvador;Restricted access to productive and financial resources;2019;20
Americas;SLV;El Salvador;Restricted civil liberties;2019;17.8
Africa;GNQ;Equatorial Guinea;Discrimination in the family;2019;63.9
Africa;GNQ;Equatorial Guinea;Restricted physical integrity;2019;37.5
Africa;ERI;Eritrea;Discrimination in the family;2019;42
Europe;EST;Estonia;SIGI;2019;14.1
Europe;EST;Estonia;Discrimination in the family;2019;21.8
Europe;EST;Estonia;Restricted physical integrity;2019;7.3
Europe;EST;Estonia;Restricted access to productive and financial resources;2019;4.6
Europe;EST;Estonia;Restricted civil liberties;2019;21.5
Africa;SWZ;Eswatini;Discrimination in the family;2019;59.2
Africa;ETH;Ethiopia;SIGI;2019;29.6
Africa;ETH;Ethiopia;Discrimination in the family;2019;34.8
Africa;ETH;Ethiopia;Restricted physical integrity;2019;30.8
Africa;ETH;Ethiopia;Restricted access to productive and financial resources;2019;34
Africa;ETH;Ethiopia;Restricted civil liberties;2019;17.9
Asia;FJI;Fiji;Discrimination in the family;2019;24.7
Europe;FIN;Finland;SIGI;2019;15.3
Europe;FIN;Finland;Discrimination in the family;2019;21.8
Europe;FIN;Finland;Restricted physical integrity;2019;16.4
Europe;FIN;Finland;Restricted access to productive and financial resources;2019;3.8
Europe;FIN;Finland;Restricted civil liberties;2019;18.3
Europe;FRA;France;SIGI;2019;11.1
Europe;FRA;France;Discrimination in the family;2019;27.6
Europe;FRA;France;Restricted physical integrity;2019;6
Europe;FRA;France;Restricted access to productive and financial resources;2019;3.6
Europe;FRA;France;Restricted civil liberties;2019;5.3
Africa;GAB;Gabon;SIGI;2019;40.1
Africa;GAB;Gabon;Discrimination in the family;2019;50.5
Africa;GAB;Gabon;Restricted physical integrity;2019;37.3
Africa;GAB;Gabon;Restricted access to productive and financial resources;2019;45.5
Africa;GAB;Gabon;Restricted civil liberties;2019;25.6
Africa;GMB;Gambia;Discrimination in the family;2019;87.8
Africa;GMB;Gambia;Restricted physical integrity;2019;44.9
Africa;GMB;Gambia;Restricted civil liberties;2019;48.4
Asia;GEO;Georgia;SIGI;2019;24.8
Asia;GEO;Georgia;Discrimination in the family;2019;34
Asia;GEO;Georgia;Restricted physical integrity;2019;18.3
Asia;GEO;Georgia;Restricted access to productive and financial resources;2019;27.3
Asia;GEO;Georgia;Restricted civil liberties;2019;18.7
Europe;DEU;Germany;SIGI;2019;15
Europe;DEU;Germany;Discrimination in the family;2019;18.1
Europe;DEU;Germany;Restricted physical integrity;2019;14.5
Europe;DEU;Germany;Restricted access to productive and financial resources;2019;13.1
Europe;DEU;Germany;Restricted civil liberties;2019;14.3
Africa;GHA;Ghana;SIGI;2019;34.5
Africa;GHA;Ghana;Discrimination in the family;2019;59.5
Africa;GHA;Ghana;Restricted physical integrity;2019;20.2
Africa;GHA;Ghana;Restricted access to productive and financial resources;2019;30.7
Africa;GHA;Ghana;Restricted civil liberties;2019;22.7
Europe;GRC;Greece;SIGI;2019;27.1
Europe;GRC;Greece;Discrimination in the family;2019;45.1
Europe;GRC;Greece;Restricted physical integrity;2019;9.3
Europe;GRC;Greece;Restricted access to productive and financial resources;2019;33.3
Europe;GRC;Greece;Restricted civil liberties;2019;16.6
Americas;GRD;Grenada;Discrimination in the family;2019;53.7
Americas;GTM;Guatemala;SIGI;2019;28.6
Americas;GTM;Guatemala;Discrimination in the family;2019;26.1
Americas;GTM;Guatemala;Restricted physical integrity;2019;24.5
Americas;GTM;Guatemala;Restricted access to productive and financial resources;2019;18.4
Americas;GTM;Guatemala;Restricted civil liberties;2019;43.4
Africa;GIN;Guinea;SIGI;2019;56.7
Africa;GIN;Guinea;Discrimination in the family;2019;87.7
Africa;GIN;Guinea;Restricted physical integrity;2019;56.9
Africa;GIN;Guinea;Restricted access to productive and financial resources;2019;28.2
Africa;GIN;Guinea;Restricted civil liberties;2019;44.4
Africa;GNB;Guinea-Bissau;Discrimination in the family;2019;59.7
Americas;GUY;Guyana;Discrimination in the family;2019;21.8
Americas;HTI;Haiti;SIGI;2019;39.9
Americas;HTI;Haiti;Discrimination in the family;2019;37.6
Americas;HTI;Haiti;Restricted physical integrity;2019;37.3
Americas;HTI;Haiti;Restricted access to productive and financial resources;2019;22
Americas;HTI;Haiti;Restricted civil liberties;2019;59.1
Americas;HND;Honduras;SIGI;2019;22.4
Americas;HND;Honduras;Discrimination in the family;2019;24.9
Americas;HND;Honduras;Restricted physical integrity;2019;25
Americas;HND;Honduras;Restricted access to productive and financial resources;2019;24.1
Americas;HND;Honduras;Restricted civil liberties;2019;15.3
Asia;HKG;Hong Kong, China;SIGI;2019;21.2
Asia;HKG;Hong Kong, China;Discrimination in the family;2019;21.8
Asia;HKG;Hong Kong, China;Restricted physical integrity;2019;22.5
Asia;HKG;Hong Kong, China;Restricted access to productive and financial resources;2019;13.4
Asia;HKG;Hong Kong, China;Restricted civil liberties;2019;26.7
Europe;HUN;Hungary;SIGI;2019;25.7
Europe;HUN;Hungary;Discrimination in the family;2019;34.1
Europe;HUN;Hungary;Restricted physical integrity;2019;17.1
Europe;HUN;Hungary;Restricted access to productive and financial resources;2019;23.4
Europe;HUN;Hungary;Restricted civil liberties;2019;27.6
Europe;ISL;Iceland;Discrimination in the family;2019;21.8
Europe;ISL;Iceland;Restricted civil liberties;2019;17.4
Asia;IND;India;SIGI;2019;34
Asia;IND;India;Discrimination in the family;2019;46.9
Asia;IND;India;Restricted physical integrity;2019;29.3
Asia;IND;India;Restricted access to productive and financial resources;2019;36.9
Asia;IND;India;Restricted civil liberties;2019;21.2
Asia;IDN;Indonesia;SIGI;2019;41.6
Asia;IDN;Indonesia;Discrimination in the family;2019;63.1
Asia;IDN;Indonesia;Restricted physical integrity;2019;21.9
Asia;IDN;Indonesia;Restricted access to productive and financial resources;2019;36.5
Asia;IDN;Indonesia;Restricted civil liberties;2019;40.4
Asia;IRN;Iran;SIGI;2019;58.3
Asia;IRN;Iran;Discrimination in the family;2019;89.9
Asia;IRN;Iran;Restricted physical integrity;2019;29.1
Asia;IRN;Iran;Restricted access to productive and financial resources;2019;22.5
Asia;IRN;Iran;Restricted civil liberties;2019;75.1
Asia;IRQ;Iraq;SIGI;2019;53.7
Asia;IRQ;Iraq;Discrimination in the family;2019;87.5
Asia;IRQ;Iraq;Restricted physical integrity;2019;30.7
Asia;IRQ;Iraq;Restricted access to productive and financial resources;2019;34.4
Asia;IRQ;Iraq;Restricted civil liberties;2019;51.5
Europe;IRL;Ireland;SIGI;2019;17.1
Europe;IRL;Ireland;Discrimination in the family;2019;21.8
Europe;IRL;Ireland;Restricted physical integrity;2019;18.5
Europe;IRL;Ireland;Restricted access to productive and financial resources;2019;15.9
Europe;IRL;Ireland;Restricted civil liberties;2019;11.8
Asia;ISR;Israel;Discrimination in the family;2019;46.8
Asia;ISR;Israel;Restricted access to productive and financial resources;2019;28.3
Asia;ISR;Israel;Restricted civil liberties;2019;38.4
Europe;ITA;Italy;SIGI;2019;13.5
Europe;ITA;Italy;Discrimination in the family;2019;21.8
Europe;ITA;Italy;Restricted physical integrity;2019;14.7
Europe;ITA;Italy;Restricted access to productive and financial resources;2019;8
Europe;ITA;Italy;Restricted civil liberties;2019;8.9
Americas;JAM;Jamaica;SIGI;2019;24.7
Americas;JAM;Jamaica;Discrimination in the family;2019;32
Americas;JAM;Jamaica;Restricted physical integrity;2019;24.5
Americas;JAM;Jamaica;Restricted access to productive and financial resources;2019;18.7
Americas;JAM;Jamaica;Restricted civil liberties;2019;22.9
Asia;JPN;Japan;SIGI;2019;24
Asia;JPN;Japan;Discrimination in the family;2019;20.2
Asia;JPN;Japan;Restricted physical integrity;2019;21.3
Asia;JPN;Japan;Restricted access to productive and financial resources;2019;29.6
Asia;JPN;Japan;Restricted civil liberties;2019;24.8
Asia;JOR;Jordan;SIGI;2019;57.3
Asia;JOR;Jordan;Discrimination in the family;2019;86.9
Asia;JOR;Jordan;Restricted physical integrity;2019;25.2
Asia;JOR;Jordan;Restricted access to productive and financial resources;2019;43.4
Asia;JOR;Jordan;Restricted civil liberties;2019;63.1
Asia;KAZ;Kazakhstan;SIGI;2019;22.5
Asia;KAZ;Kazakhstan;Discrimination in the family;2019;22.4
Asia;KAZ;Kazakhstan;Restricted physical integrity;2019;14.4
Asia;KAZ;Kazakhstan;Restricted access to productive and financial resources;2019;30.6
Asia;KAZ;Kazakhstan;Restricted civil liberties;2019;21.8
Africa;KEN;Kenya;SIGI;2019;35.5
Africa;KEN;Kenya;Discrimination in the family;2019;50.5
Africa;KEN;Kenya;Restricted physical integrity;2019;28.9
Africa;KEN;Kenya;Restricted access to productive and financial resources;2019;42.2
Africa;KEN;Kenya;Restricted civil liberties;2019;17.2
Asia;KOR;Korea;SIGI;2019;23.4
Asia;KOR;Korea;Discrimination in the family;2019;21.8
Asia;KOR;Korea;Restricted physical integrity;2019;17.5
Asia;KOR;Korea;Restricted access to productive and financial resources;2019;33
Asia;KOR;Korea;Restricted civil liberties;2019;20.4
Europe;XKO;Kosovo;Discrimination in the family;2019;27.8
Europe;XKO;Kosovo;Restricted access to productive and financial resources;2019;17.7
Europe;XKO;Kosovo;Restricted civil liberties;2019;15
Asia;KWT;Kuwait;Discrimination in the family;2019;75.8
Asia;KWT;Kuwait;Restricted access to productive and financial resources;2019;80.3
Asia;KGZ;Kyrgyzstan;SIGI;2019;23.2
Asia;KGZ;Kyrgyzstan;Discrimination in the family;2019;28.7
Asia;KGZ;Kyrgyzstan;Restricted physical integrity;2019;16.6
Asia;KGZ;Kyrgyzstan;Restricted access to productive and financial resources;2019;28.8
Asia;KGZ;Kyrgyzstan;Restricted civil liberties;2019;18
Asia;LAO;Lao People's Democratic Republic;SIGI;2019;26.2
Asia;LAO;Lao People's Democratic Republic;Discrimination in the family;2019;31.3
Asia;LAO;Lao People's Democratic Republic;Restricted physical integrity;2019;23.9
Asia;LAO;Lao People's Democratic Republic;Restricted access to productive and financial resources;2019;20.2
Asia;LAO;Lao People's Democratic Republic;Restricted civil liberties;2019;29
Europe;LVA;Latvia;SIGI;2019;17.8
Europe;LVA;Latvia;Discrimination in the family;2019;21.8
Europe;LVA;Latvia;Restricted physical integrity;2019;15.7
Europe;LVA;Latvia;Restricted access to productive and financial resources;2019;4.6
Europe;LVA;Latvia;Restricted civil liberties;2019;27.7
Asia;LBN;Lebanon;SIGI;2019;56.2
Asia;LBN;Lebanon;Discrimination in the family;2019;82.5
Asia;LBN;Lebanon;Restricted physical integrity;2019;26.6
Asia;LBN;Lebanon;Restricted access to productive and financial resources;2019;45.1
Asia;LBN;Lebanon;Restricted civil liberties;2019;62.1
Africa;LSO;Lesotho;SIGI;2019;38.1
Africa;LSO;Lesotho;Discrimination in the family;2019;46.5
Africa;LSO;Lesotho;Restricted physical integrity;2019;26.9
Africa;LSO;Lesotho;Restricted access to productive and financial resources;2019;40.5
Africa;LSO;Lesotho;Restricted civil liberties;2019;37.6
Africa;LBR;Liberia;SIGI;2019;47.5
Africa;LBR;Liberia;Discrimination in the family;2019;60
Africa;LBR;Liberia;Restricted physical integrity;2019;33.5
Africa;LBR;Liberia;Restricted access to productive and financial resources;2019;41.5
Africa;LBR;Liberia;Restricted civil liberties;2019;52.8
Africa;LBY;Libya;Discrimination in the family;2019;40.8
Europe;LTU;Lithuania;SIGI;2019;15.6
Europe;LTU;Lithuania;Discrimination in the family;2019;27.3
Europe;LTU;Lithuania;Restricted physical integrity;2019;9.3
Europe;LTU;Lithuania;Restricted access to productive and financial resources;2019;4.6
Europe;LTU;Lithuania;Restricted civil liberties;2019;19.7
Europe;LUX;Luxembourg;Discrimination in the family;2019;21.9
Europe;LUX;Luxembourg;Restricted access to productive and financial resources;2019;7.3
Europe;LUX;Luxembourg;Restricted civil liberties;2019;8.1
Africa;MDG;Madagascar;SIGI;2019;47.5
Africa;MDG;Madagascar;Discrimination in the family;2019;57.2
Africa;MDG;Madagascar;Restricted physical integrity;2019;31.6
Africa;MDG;Madagascar;Restricted access to productive and financial resources;2019;39.2
Africa;MDG;Madagascar;Restricted civil liberties;2019;59.4
Africa;MWI;Malawi;SIGI;2019;41.4
Africa;MWI;Malawi;Discrimination in the family;2019;38.5
Africa;MWI;Malawi;Restricted physical integrity;2019;24.1
Africa;MWI;Malawi;Restricted access to productive and financial resources;2019;37.4
Africa;MWI;Malawi;Restricted civil liberties;2019;61.9
Asia;MYS;Malaysia;Discrimination in the family;2019;80.8
Asia;MDV;Maldives;Discrimination in the family;2019;80
Asia;MDV;Maldives;Restricted physical integrity;2019;29
Africa;MLI;Mali;SIGI;2019;46
Africa;MLI;Mali;Discrimination in the family;2019;63.5
Africa;MLI;Mali;Restricted physical integrity;2019;48.4
Africa;MLI;Mali;Restricted access to productive and financial resources;2019;39.9
Africa;MLI;Mali;Restricted civil liberties;2019;28.9
Europe;MLT;Malta;SIGI;2019;21.5
Europe;MLT;Malta;Discrimination in the family;2019;24.9
Europe;MLT;Malta;Restricted physical integrity;2019;28.4
Europe;MLT;Malta;Restricted access to productive and financial resources;2019;4.9
Europe;MLT;Malta;Restricted civil liberties;2019;26.3
Africa;MRT;Mauritania;Discrimination in the family;2019;88.1
Africa;MRT;Mauritania;Restricted civil liberties;2019;52.2
Africa;MUS;Mauritius;Discrimination in the family;2019;52.7
Africa;MUS;Mauritius;Restricted access to productive and financial resources;2019;19.2
Africa;MUS;Mauritius;Restricted civil liberties;2019;40.7
Americas;MEX;Mexico;SIGI;2019;29
Americas;MEX;Mexico;Discrimination in the family;2019;60.4
Americas;MEX;Mexico;Restricted physical integrity;2019;15.6
Americas;MEX;Mexico;Restricted access to productive and financial resources;2019;17.5
Americas;MEX;Mexico;Restricted civil liberties;2019;14.6
Europe;MDA;Moldova;SIGI;2019;21.4
Europe;MDA;Moldova;Discrimination in the family;2019;23
Europe;MDA;Moldova;Restricted physical integrity;2019;12.7
Europe;MDA;Moldova;Restricted access to productive and financial resources;2019;36.7
Europe;MDA;Moldova;Restricted civil liberties;2019;11
Asia;MNG;Mongolia;SIGI;2019;20
Asia;MNG;Mongolia;Discrimination in the family;2019;27.8
Asia;MNG;Mongolia;Restricted physical integrity;2019;8.1
Asia;MNG;Mongolia;Restricted access to productive and financial resources;2019;20.1
Asia;MNG;Mongolia;Restricted civil liberties;2019;22.9
Europe;MNE;Montenegro;Discrimination in the family;2019;27.6
Europe;MNE;Montenegro;Restricted access to productive and financial resources;2019;28.7
Europe;MNE;Montenegro;Restricted civil liberties;2019;13.7
Africa;MAR;Morocco;SIGI;2019;50.8
Africa;MAR;Morocco;Discrimination in the family;2019;73.4
Africa;MAR;Morocco;Restricted physical integrity;2019;25.7
Africa;MAR;Morocco;Restricted access to productive and financial resources;2019;37.8
Africa;MAR;Morocco;Restricted civil liberties;2019;59.3
Africa;MOZ;Mozambique;SIGI;2019;24.3
Africa;MOZ;Mozambique;Discrimination in the family;2019;32
Africa;MOZ;Mozambique;Restricted physical integrity;2019;15.5
Africa;MOZ;Mozambique;Restricted access to productive and financial resources;2019;15.3
Africa;MOZ;Mozambique;Restricted civil liberties;2019;32.9
Asia;MMR;Myanmar;SIGI;2019;42.4
Asia;MMR;Myanmar;Discrimination in the family;2019;47.7
Asia;MMR;Myanmar;Restricted physical integrity;2019;29.5
Asia;MMR;Myanmar;Restricted access to productive and financial resources;2019;35.5
Asia;MMR;Myanmar;Restricted civil liberties;2019;54.9
Africa;NAM;Namibia;SIGI;2019;27.1
Africa;NAM;Namibia;Discrimination in the family;2019;33.1
Africa;NAM;Namibia;Restricted physical integrity;2019;12.6
Africa;NAM;Namibia;Restricted access to productive and financial resources;2019;26.2
Africa;NAM;Namibia;Restricted civil liberties;2019;35.1
Asia;NPL;Nepal;SIGI;2019;36.2
Asia;NPL;Nepal;Discrimination in the family;2019;52.3
Asia;NPL;Nepal;Restricted physical integrity;2019;13.7
Asia;NPL;Nepal;Restricted access to productive and financial resources;2019;34.7
Asia;NPL;Nepal;Restricted civil liberties;2019;40.2
Europe;NLD;Netherlands;SIGI;2019;16.1
